id,latitude,longitude,scientific,university
114142035,25.0250006,121.5282825,Erigeron,NTNU
114142153,25.02500097,121.528283,Eleusine indica,NTNU
114142211,25.02500097,121.528283,Plantago asiatica,NTNU
114142324,25.02500097,121.528283,Soliva sessilis,NTNU
114142888,25.026423,121.52814,Acalypha australis,NTNU
114142961,25.026423,121.52814,Alstonia scholaris,NTNU
114143020,25.026468,121.527397,Symphyotrichum subulatum,NTNU
114143173,25.02657597,121.527544,Rivina humilis,NTNU
114187386,25.026461,121.528404,Canna indica,NTNU
115359687,25.02541,121.52574,Pica serica,NTNU
125725136,25.0261105,121.5280952,Gorsachius melanolophus,NTNU
133584208,25.02617,121.5264,Hexagonia tenuis,NTNU
133586879,25.0262,121.52637,Fungi,NTNU
134965005,25.02670288,121.5254669,Cucurbita,NTNU
144950391,25.02650833,121.5275283,Melaleuca leucadendra,NTNU
146510389,25.02610278,121.5275861,Malpighia glabra,NTNU
146510396,25.025025,121.5277028,Angiospermae,NTNU
147993838,25.0256652,121.5279585,Mazus fauriei,NTNU
147993861,25.0257926,121.5278862,Oxalis debilis,NTNU
147994060,25.02619522,121.5279889,Youngia japonica,NTNU
147994135,25.02612846,121.5278593,Torenia concolor,NTNU
147994785,25.02537279,121.5277828,Potentilla hebiichigo,NTNU
148672399,25.02557373,121.5271378,Turdus chrysolaus,NTNU
149195294,25.02532768,121.5279236,Duranta erecta,NTNU
151789547,25.02580283,121.5272867,Macroglossum pyrrhosticta,NTNU
152009637,25.02557222,121.528075,Solanum diphyllum,NTNU
152009654,25.02556389,121.5280944,Morus indica,NTNU
152483581,25.02608889,121.5281389,Gorsachius melanolophus,NTNU
152898324,25.02610353,121.5262959,,NTNU
158476368,25.02586289,121.5262169,Eumelea,NTNU
160977532,25.0267166,121.5252006,Alstonia scholaris,NTNU
163232858,25.0251322,121.527157,Tanychlamys hippocastaneum,NTNU
163451508,25.02603056,121.528175,Gorsachius melanolophus,NTNU
164559981,25.02555802,121.5277868,Pseudozizeeria maha,NTNU
166192840,25.02509573,121.5278174,Houttuynia cordata,NTNU
172116816,25.02537923,121.5256013,Macrobrachium asperulum,NTNU
174072849,25.02548333,121.525345,Acridotheres,NTNU
174072897,25.0254055,121.5266117,Gorsachius melanolophus,NTNU
174073221,25.0254055,121.5266117,Gorsachius melanolophus,NTNU
174073251,25.02540833,121.525305,Acridotheres,NTNU
174241203,25.02536667,121.5251217,Calvatia,NTNU
174241262,25.0254945,121.5262533,Arna bipunctapex,NTNU
174241270,25.0253805,121.5251617,Calvatia,NTNU
174241292,25.02536667,121.5251217,Calvatia,NTNU
174415370,25.0254945,121.5262533,Arna bipunctapex,NTNU
174785685,25.02589417,121.527359,,NTNU
186821119,25.02552685,121.525219,Sirthenea dimidiata,NTNU
188863980,25.02618622,121.525639,Bauhinia,NTNU
191550158,25.0250805,121.527145,Spathiphyllum,NTNU
199802841,25.02610266,121.527654,Ficus lyrata,NTNU
199802933,25.0265596,121.5274686,Melaleuca leucadendra,NTNU
199803001,25.02610266,121.527654,Roystonea regia,NTNU
200672384,25.0260878,121.5275484,Ficus lyrata,NTNU
200672386,25.02614979,121.5275055,Roystonea regia,NTNU
200672549,25.0265596,121.5274686,Melaleuca leucadendra,NTNU
201211149,25.02498942,121.5279823,Youngia japonica,NTNU
208234787,25.0264805,121.52738,Pyrrosia lanceolata,NTNU
208234998,25.0262555,121.5280533,Drynaria coronans,NTNU
208235375,25.0264555,121.52807,Drynaria coronans,NTNU
211283020,25.025075,121.5275883,Tabernaemontana divaricata,NTNU
213915478,25.02516117,121.52693,Euproctis,NTNU
