id,latitude,longitude,scientific_name
12368984,25.01638164,121.53353064,Chamaecyparis
12372711,25.01653614,121.5336437,Asparagus
12786330,25.0155861167,121.53882,Olenecamptus formosanus
12786476,25.015775,121.5389166667,Olenecamptus formosanus
12786479,25.015775,121.5389166667,Cerambycidae
12885691,25.0183753967,121.5338745117,Columba livia domestica
12886640,25.0263805389,121.5359802246,Christella parasitica
12886645,25.0269432068,121.5363006592,Sphagneticola trilobata
12905380,25.0208816528,121.5377578735,Columba livia domestica
12905424,25.0209846497,121.537612915,Cairina moschata domestica
12905451,25.0209541321,121.5374526978,Anatidae
12905481,25.0211772919,121.5363998413,Acridotheres tristis
12905499,25.0211982727,121.5363616943,Streptopelia orientalis
12905518,25.0257205963,121.5347366333,Hirundo rustica
12940115,25.0271111111,121.5346916667,Streptopelia orientalis
13055555,25.0203583333,121.5370333333,Callosciurus erythraeus
13055556,25.0203583333,121.5370333333,Columba livia domestica
13055557,25.0203583333,121.5370333333,Streptopelia orientalis
13055559,25.0203805556,121.5372777778,Bubulcus coromandus
13055561,25.0203416667,121.5373833333,Cygnus atratus
13055564,25.0198583333,121.5375611111,Nycticorax nycticorax
13056309,25.0272221195,121.5361908416,Psilopogon nuchalis
13069363,25.02035793,121.53424293,Sphagneticola trilobata
13069364,25.01643207,121.53310007,Columba livia domestica
13226524,25.0255642587,121.5264811528,Gorsachius melanolophus
13260046,25.0276615802,121.5425570682,Spilopelia chinensis
13483287,25.0144,121.5412444444,Trachemys scripta elegans
13483289,25.0144,121.5412444444,Gallinula chloropus
13567889,25.014325,121.5348366667,Symbrenthia brabira
13691750,25.0161304474,121.5403137207,Streptopelia orientalis
13830591,25.0161006778,121.5404573123,Nycticorax nycticorax
13830832,25.0161252028,121.5405779303,Lanius bucephalus
13847200,25.0206305,121.5409,Aganainae
13847254,25.0185471667,121.5420133333,Galphimia glauca
13855564,25.017275,121.5419466667,Gorsachius melanolophus
13858048,25.0166223392,121.5330570127,Treron sieboldii
13877779,25.0262268403,121.5382744155,
13933446,25.0164901,121.5353635,Cleisostoma paniculatum
13937432,25.017341,121.539752,Gorsachius melanolophus
13940234,25.0237064362,121.5344390869,Lissachatina immaculata
13940260,25.0218448639,121.525100708,Sparassidae
13945971,25.017341,121.539752,Anoplophora
13977650,25.017341,121.539752,Gallinula chloropus
13980479,25.025691,121.536231,Phylloscopus borealis
14034486,25.0153247598,121.5356979892,Nandina domestica
14090338,25.0239734771,121.5350587852,Ageratum conyzoides
14091222,25.0163527833,121.540055,
14091647,25.026966095,121.5366516113,Accipiter trivirgatus
14116979,25.0271166667,121.53643,Accipiter trivirgatus
14123936,25.0249926832,121.5421151149,Angiospermae
14193462,25.0253574131,121.5267798958,Gorsachius melanolophus
14201196,25.0254638333,121.5269,Gorsachius melanolophus
14265868,25.0160571556,121.5397088847,Nycticorax nycticorax
14283633,25.0199926454,121.5423555672,Triadica sebifera
14338134,25.02025,121.5374,Duttaphrynus melanostictus
14338140,25.0196721667,121.5377716667,Hedychium coronarium
14341245,25.0209116,121.53763456,Magnoliopsida
14341259,25.02056234,121.53713439,Lagerstroemia indica
14341284,25.02061268,121.53715866,Ficus microcarpa
14376258,25.0214825761,121.5221987096,Asparagaceae
14377148,25.02104439,121.53772501,Pittosporum pentandrum
14403352,25.0265579154,121.5407988847,Gibbium psylloides
14404832,25.0173405,121.5397518,Menemerus bivittatus
14406593,25.0173405,121.5397518,Tetragnatha mandibulata
14407063,25.0173405,121.5397518,Oecobius navus
14407356,25.0173405,121.5397518,Eriovixia excelsa
14438675,25.0270195007,121.5361022949,Callosciurus erythraeus
14444457,25.0264667387,121.5357980312,Diploderma swinhonis
14444952,25.0271304518,121.5269593687,Macroglossum divergens heliophila
14445680,25.0273423344,121.5284680768,Millettia pinnata
14448562,25.0126728546,121.5408840182,Rana longicrus
14499921,25.0208318802,121.5453443768,Bombax ceiba
14499961,25.0209864687,121.5454333824,Liquidambar formosana
14505629,25.0215421112,121.5442349564,Dianthus
14505715,25.0214819974,121.5430382949,Peltophorum pterocarpum
14506183,25.0194015503,121.5376434326,Salix mesnyi
14506196,25.0193751,121.53767504,Drynaria coronans
14506686,25.0238505884,121.5412262079,Murraya paniculata
14506735,25.0240311468,121.5411841159,Ficus microcarpa
14506773,25.0243300717,121.5412606636,Broussonetia papyrifera
14506794,25.0244693845,121.5413269746,Duranta erecta
14506843,25.0250640375,121.5407993835,Melaleuca leucadendra
14507022,25.0274570099,121.5379618271,
14562010,25.0178642273,121.539604187,Gorsachius melanolophus
14599308,25.0166007601,121.5337390609,Melopsittacus undulatus domesticus
14600164,25.02728765,121.53583429,Nycticorax nycticorax
14641844,25.0270848587,121.5287435905,Spiranthes sinensis
14642245,25.0257768901,121.5279545124,Mazus fauriei
14642248,25.0257962604,121.5279549717,Plagiostigma
14642249,25.0257962604,121.5279549717,Potentilla indica
14642312,25.0114988104,121.5277256607,Mecardonia procumbens
14734232,25.0194054452,121.546864206,Poales
14789893,25.01649445,121.5334033333,Agaricus campestris
14789991,25.0184445,121.5350883333,Calvatia lilacina
14790048,25.017175,121.5372783333,Tricholoma
14790099,25.017175,121.5384666667,Termitomyces microcarpus
14790175,25.0165416667,121.5335083333,Conocybe apala
14790270,25.0183721667,121.53498,Pycnonotus sinensis formosae
14876005,25.0245419,121.529366,Acridotheres tristis
14876006,25.0245419,121.529366,Hirundo rustica
14876023,25.0257279,121.5362701,Bidens alba
14876249,25.0257279,121.5362701,Plantago major
15000437,25.0205835878,121.5359910366,Barringtonia racemosa
15039730,25.0173405,121.5397518,Latouchia formosensis
15098685,25.0209471667,121.5436866667,Amaranthus
15181671,25.0183175721,121.5413700859,Liquidambar formosana
15181844,25.0163345153,121.540019697,Nycticorax nycticorax
15181951,25.0159829006,121.5387377046,Streptopelia orientalis
15182008,25.0156465748,121.5382386081,Passer montanus
15351473,25.0196487426,121.5377308779,Trachemys scripta elegans
15390492,25.0264625549,121.5360717773,Callosciurus erythraeus
15402705,25.0196289796,121.5281981975,Evania appendigaster
15625256,25.0171783333,121.5397,Chrysopogon aciculatus
15730850,25.0234945,121.5283133333,Macaranga tanarius
15741585,25.0214778333,121.541145,Calvatia lilacina
15775559,25.0206044309,121.541260258,Calvatia lilacina
15775582,25.0214916667,121.54123,Calvatia lilacina
15845316,25.01351945,121.5330716667,Euphorbia prostrata
15905408,25.0186305,121.5442716667,Papilio polytes
15991613,25.0162361167,121.540445,Euploea sylvester
15991617,25.0161916667,121.5404666667,Euploea mulciber
15991651,25.0163027833,121.5404133333,Sagittaria sagittifolia
16006516,25.01630555,121.54,Nycticorax nycticorax
16006523,25.0163361167,121.54007,Nycticorax nycticorax
16006536,25.01634445,121.5403533333,Lagerstroemia indica
16006545,25.01634445,121.5403533333,Streptopelia orientalis
16006561,25.0156027833,121.5410083333,Hydrocotyle sibthorpioides
16006597,25.0156027833,121.5410083333,Pontederia cordata
16006655,25.01600555,121.5407033333,Cenchrinae
16014784,25.01536945,121.5339283333,Cheilomenes sexmaculata
16014835,25.01535555,121.5338883333,Shivaphis celti
16014857,25.015575,121.5338533333,Celtis sinensis
16017327,25.0161666667,121.54058,Ludwigia decurrens
16059770,25.0156973535,121.5380642844,Passer montanus
16127333,25.0237861667,121.5337366667,Strelitzia reginae
16127355,25.0255278333,121.532845,Plumbago auriculata
16127407,25.0252833333,121.5330416667,Zinnia elegans
16127414,25.0245611667,121.5347533333,Odontonema tubaeforme
16127421,25.0254028333,121.53267,Combretum indicum
16127448,25.0241695,121.5342416667,Canna
16128682,25.0250805,121.53485,Nicotiana plumbaginifolia
16129941,25.0133423,121.5343561,Passer montanus
16155420,25.0247917175,121.5424728394,Phyllanthus tenellus
16155427,25.0247917175,121.5424728394,Rivina humilis
16155432,25.0247917175,121.5424728394,Ficus subpisocarpa
16159530,25.0141982844,121.5275452083,Kandelia obovata
16193122,25.0155866667,121.5384266667,Grevillea robusta
16193132,25.0157216667,121.5386566667,Ficus subpisocarpa
16193136,25.015805,121.5379683333,Millettia pinnata
16196322,25.01955857,121.52541979,Streptopelia orientalis
16196360,25.0199208,121.5243632,Nuphar pumila
16196726,25.019978,121.5248951,Gallinula chloropus
16210504,25.0256587215,121.5279895107,Ixora coccinea
16223720,25.0119246021,121.5397229791,Psilopogon nuchalis
16231831,25.0276254571,121.542630581,Chremistica ochracea
16262189,25.0279171,121.5428237,Diplacodes trivialis
16309208,25.0229589,121.5312066,Ruellia simplex
16384528,25.0110472167,121.5323416667,Psacothea hilaris
16675117,25.0161021165,121.5394227477,Callosciurus erythraeus
16676334,25.0152298391,121.5401331337,Acisoma panorpoides
16676338,25.0153763084,121.5402990198,Agriocnemis femina oryzae
16676339,25.0156383502,121.5403835275,Urothemis signata yiei
16676344,25.0154661713,121.5400572618,Orthetrum sabina sabina
16676345,25.0153738254,121.5404769244,Orthetrum luzonicum
16676352,25.0155594378,121.5402070422,Ischnura senegalensis
16676355,25.0152497205,121.5403875052,Ceriagrion auranticum
16676359,25.0152714482,121.5409381311,Acisoma panorpoides
16676362,25.0158296769,121.5401848499,Crocothemis servilia servilia
16676365,25.0150828588,121.5403430812,Trithemis aurora
16676374,25.0156761561,121.5399493604,Urothemis signata
16676375,25.0154224399,121.5403463898,Brachythemis contaminata
16676376,25.0155505988,121.5405378157,Pseudocopera ciliata
16676377,25.015233396,121.5404945278,Orthetrum pruinosum neglectum
16676393,25.0153024285,121.5398380707,Histia flabellicornis ultima
16676399,25.0152872059,121.5405564275,Heliophorus ila matsumurae
16676405,25.0149593642,121.5402372733,Danaus chrysippus
16676406,25.015080173,121.5406083652,Euploea mulciber
16706861,25.0153085198,121.5401931235,Duttaphrynus melanostictus
16706868,25.0161141356,121.5399027011,Alcedo atthis
16706870,25.0161947039,121.5400633364,Gallinula chloropus
16706871,25.0160430106,121.5396785655,Gallinula chloropus
16706873,25.0159687745,121.5396003445,Psilopogon nuchalis
16706874,25.0158756635,121.5389536623,Psilopogon nuchalis
16706878,25.0155384765,121.5397077622,Streptopelia orientalis
16706880,25.0158737349,121.5390135747,Treron sieboldii
16706881,25.0162176629,121.5388348944,Otus lettia
16706893,25.0158481087,121.5401471728,Actitis hypoleucos
16706896,25.0159121794,121.5395272996,Ardea alba
16706897,25.0159868429,121.5394712153,Egretta garzetta
16706898,25.0158497458,121.5395226565,Ardea intermedia
16706899,25.0160688734,121.5397802891,Ardeola bacchus
16706902,25.0159098804,121.5396178185,Nycticorax nycticorax
16706903,25.0159939685,121.5398928808,Nycticorax nycticorax
16706907,25.0162151525,121.5391836474,Gorsachius melanolophus
16706908,25.0160056897,121.539766873,Ardea cinerea
16706914,25.0158586539,121.5390958009,Spodiopsar cineraceus
16706915,25.0156753377,121.5401790536,Acridotheres tristis
16706916,25.0151156823,121.5404503555,Spodiopsar sericeus
16706917,25.0159660164,121.5390263613,Aplonis panayensis
16706931,25.015302363,121.5399186413,Lanius cristatus
16706937,25.0157202198,121.5405067249,Dicrurus macrocercus
16706941,25.0156541706,121.5393480151,Passer montanus
16706944,25.0160136469,121.5400771419,Lonchura punctulata
16706962,25.0157873488,121.5398543373,Pica serica
16706966,25.0159105882,121.5399422186,Dendrocitta formosae
16706979,25.0157494446,121.5400371807,Phoenicurus auroreus
16706982,25.0157766412,121.5396765394,Phoenicurus auroreus
16706986,25.0161974218,121.5395570759,Copsychus saularis
16706992,25.015380539,121.5395323187,Pycnonotus sinensis
16707003,25.0155523243,121.5400990243,Horornis canturians borealis
16707004,25.0154820772,121.5403202354,Prinia inornata
16707010,25.0184525249,121.5398881017,Cacatua
16822681,25.01638,121.535285,Polypodiaceae
16822685,25.016355,121.53533,Eriocaulon
16822692,25.01634,121.5352033333,Schoenoplectiella mucronata
16822696,25.0163766667,121.5351933333,Pyrrosia lingua
16822701,25.0164433333,121.5351816667,Mussaenda
16822760,25.0165883333,121.5351516667,Coryphoideae
16824769,25.016465,121.5351233333,
17090062,25.0248371903,121.528428197,Paederia foetida
17095382,25.015524,121.5387324,Ischyja ferrifracta
17124816,25.0155889,121.5387443,Endotricha
17178900,25.0231285095,121.5284881592,Rattus norvegicus
17179166,25.0231189728,121.5282058716,Ruellia simplex
